code_gene,nom_bdcarthage,dtg_bathy,lon,lat,prof
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11933","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00375","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00375","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00375","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00375","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00375","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11933","45,00376","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11606","44,99236","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1196","45,00348","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11616","44,99246","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00375","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00375","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11932","45,00375","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12004","44,9989",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11957","45,00352","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1188","44,99809","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11882","44,99821",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11885","44,99833",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11887","44,99844","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11892","44,99853",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11905","44,99859","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1192","44,99864","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11936","44,99869","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11952","44,99875","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11877","44,99789",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11989","44,99887","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11876","44,99778","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12025","44,99891","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12049","44,99896","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12071","44,9991","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12086","44,99932","1,3"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12094","44,99958","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12094","44,99985","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12092","45,00012","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12086","45,00039","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12077","45,00064","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12063","45,00089",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1205","45,00114",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11973","44,99883","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,118","44,99488","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11934","45,00376","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11711","44,99665",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11635","44,99268","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11643","44,9928","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11652","44,99293","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11667","44,99311","1,3"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11687","44,99334","1,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1171","44,99362","1,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11735","44,99391","1,3"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11754","44,9942",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11878","44,99797",1
